458 ,白山小台線,文京区本駒込4-41-2,62240 ,"2,904 ","1,409 ",684 ,      －,      －,      －,      －,"9,081 ","1,427 ","10,508 ",13.6 ,949 ,9.0 ,1.33 ,1.25 ,62110 ,"11,765 ",0.89 ,6.7 ,8.0 ,10月21日(木),曇,国土交通省,458 ,白山小台線,62240 ,
458 ,白山小台線,荒川区西尾久1-22,62250 ,"1,537 ","3,516 ",670 ,      －,      －,      －,      －,"6,408 ",966 ,"7,374 ",13.1 ,766 ,10.4 ,1.31 ,1.31 ,62120 ,"8,556 ",0.86 ,11.6 ,16.0 ,10月21日(木),曇,国土交通省,458 ,白山小台線,62250 ,
458 ,白山小台線,荒川区西尾久3-26,62260 ,"1,266 ","3,597 ",544 ,      －,      －,      －,      －,"6,138 ",965 ,"7,103 ",13.6 ,692 ,9.7 ,1.30 ,1.24 ,62130 ,"8,284 ",0.86 ,13.1 ,19.5 ,10月21日(木),曇,国土交通省,458 ,白山小台線,62260 ,
460 ,中十条赤羽線,北区中十条1丁目15,62280 ,258 ,621 ,587 ,"3,157 ","2,214 ",19 ,388 ,"5,371 ",407 ,"5,778 ",7.0 ,621 ,10.7 ,1.29 ,0.90 ,62150 ,"6,470 ",0.89 ,14.3 ,10.4 ,10月6日(水),晴,東京都,460 ,中十条赤羽線,62280 ,
461 ,吾妻橋伊興町線,足立区千住曙町38-6,62290 ,587 ,"1,443 ",600 ,      －,      －,      －,      －,"9,238 ","1,638 ","10,876 ",15.1 ,"1,068 ",9.8 ,1.33 ,1.00 ,62160 ,"12,484 ",0.87 ,24.9 ,9.4 ,10月28日(木),晴,国土交通省,461 ,吾妻橋伊興町線,62290 ,
461 ,吾妻橋伊興町線,足立区関原2丁目44,62310 ,400 ,"1,283 ",918 ,"7,849 ","3,408 ",167 ,"1,193 ","11,257 ","1,360 ","12,617 ",10.8 ,"1,167 ",9.2 ,1.33 ,1.09 ,62180 ,"12,728 ",0.99 ,12.4 ,16.8 ,10月12日(火),曇,東京都,461 ,吾妻橋伊興町線,62310 ,
461 ,吾妻橋伊興町線,足立区東伊興3丁目4,62320 ,805 ,"2,121 ",623 ,"4,733 ","1,894 ",247 ,862 ,"6,627 ","1,109 ","7,736 ",14.3 ,696 ,9.0 ,1.30 ,0.82 ,62190 ,"8,066 ",0.96 ,15.9 ,14.3 ,10月12日(火),曇,東京都,461 ,吾妻橋伊興町線,62320 ,
461 ,吾妻橋伊興町線,墨田区堤通2-14,62330 ,368 ,926 ,65 ,      －,      －,      －,      －,"2,682 ",501 ,"3,183 ",15.7 ,309 ,9.7 ,1.26 ,0.30 ,62200 ,"4,350 ",0.73 ,25.2 ,9.9 ,9月16日(木),晴,国土交通省,461 ,吾妻橋伊興町線,62330 ,
462 ,蔵前三ノ輪線,台東区西浅草1丁目7,62340 ,"9,611 ","3,654 ",675 ,"7,597 ","3,225 ",594 ,"1,016 ","10,822 ","1,610 ","12,432 ",13.0 ,"1,138 ",9.2 ,1.34 ,0.63 ,62210 ,"15,008 ",0.83 ,15.0 ,17.8 ,10月6日(水),晴,東京都,462 ,蔵前三ノ輪線,62340 ,
463 ,上野月島線,台東区雷門2-1,62350 ,"3,493 ","2,212 ",520 ,      －,      －,      －,      －,"11,214 ","1,226 ","12,440 ",9.9 ,"1,181 ",9.5 ,1.34 ,0.66 ,62220 ,"14,115 ",0.88 ,10.1 ,11.7 ,10月6日(水),晴,国土交通省,463 ,上野月島線,62350 ,
463 ,上野月島線,墨田区立川1-1-5,62360 ,"3,786 ",815 ,546 ,      －,      －,      －,      －,"10,488 ","1,593 ","12,081 ",13.2 ,"1,205 ",10.0 ,1.34 ,0.68 ,62240 ,"14,856 ",0.81 ,14.5 ,18.9 ,10月6日(水),晴,国土交通省,463 ,上野月島線,62360 ,
463 ,上野月島線,江東区高橋1,62370 ,"5,875 ","2,456 ","1,182 ","7,530 ","3,715 ",171 ,"1,452 ","11,245 ","1,623 ","12,868 ",12.6 ,"1,223 ",9.5 ,1.33 ,0.70 ,62250 ,"13,388 ",0.96 ,20.9 ,15.0 ,12月9日(木),晴,東京都,463 ,上野月島線,62370 ,
463 ,上野月島線,中央区佃3-1,62380 ,"2,836 ","3,415 ","1,036 ",      －,      －,      －,      －,"14,946 ","2,099 ","17,045 ",12.3 ,"1,611 ",9.5 ,1.36 ,0.57 ,62260 ,"19,264 ",0.88 ,33.1 ,19.3 ,9月28日(火),曇,国土交通省,463 ,上野月島線,62380 ,
463 ,上野月島線,台東区花川戸1-1,62400 ,"11,072 ","2,731 ",320 ,      －,      －,      －,      －,"4,212 ",851 ,"5,063 ",16.8 ,481 ,9.5 ,1.30 ,0.39 ,62230 ,"6,749 ",0.75 ,10.7 ,13.5 ,10月6日(水),晴,国土交通省,463 ,上野月島線,62400 ,
464 ,言問橋南千住線,台東区日本堤2-28-10,62410 ,"3,395 ","1,494 ",542 ,      －,      －,      －,      －,"5,982 ","1,091 ","7,073 ",15.4 ,740 ,10.5 ,1.30 ,1.24 ,62280 ,"8,271 ",0.86 ,17.8 ,18.8 ,10月7日(木),曇,国土交通省,464 ,言問橋南千住線,62410 ,
465 ,深川吾嬬町線,江東区毛利2-7-5,62420 ,"4,392 ","1,249 ",666 ,      －,      －,      －,      －,"13,038 ","2,250 ","15,288 ",14.7 ,"1,461 ",9.6 ,1.34 ,0.60 ,62290 ,"14,861 ",1.03 ,9.8 ,10.8 ,11月11日(木),晴,国土交通省,465 ,深川吾嬬町線,62420 ,
466 ,内匠橋花畑線,足立区花畑7丁目16,62430 ,90 ,244 ,283 ,"1,932 ",873 ,71 ,315 ,"2,805 ",386 ,"3,191 ",12.1 ,392 ,12.3 ,1.26 ,0.63 ,62300 ,"4,049 ",0.79 ,19.9 ,24.0 ,10月12日(火),曇,東京都,466 ,内匠橋花畑線,62430 ,
467 ,千住新宿町線,葛飾区西亀有3-11-1,62450 ,315 ,"1,508 ",274 ,      －,      －,      －,      －,"3,897 ",424 ,"4,321 ",9.8 ,417 ,9.7 ,1.26 ,0.53 ,62310 ,"4,284 ",1.01 ,16.5 ,16.0 ,9月16日(木),晴,国土交通省,467 ,千住新宿町線,62450 ,
473 ,新富晴海線,中央区明石町1,62490 ,"7,150 ","1,270 ",835 ,"10,406 ","4,409 ",283 ,"3,130 ","14,815 ","3,413 ","18,228 ",18.7 ,"2,129 ",11.7 ,1.39 ,1.70 ,62350 ,"23,618 ",0.77 ,22.5 ,34.7 ,11月11日(木),晴,東京都,473 ,新富晴海線,62490 ,
474 ,浜町北砂町線,中央区日本橋中洲6-4,62510 ,"2,337 ","3,039 ",381 ,      －,      －,      －,      －,"10,250 ","1,500 ","11,750 ",12.8 ,"1,350 ",11.5 ,1.33 ,1.10 ,62370 ,"13,705 ",0.86 ,17.6 ,25.2 ,11月11日(木),晴,国土交通省,474 ,浜町北砂町線,62510 ,
475 ,永代葛西橋線,江東区南砂2-31,62520 ,"1,808 ",703 ,957 ,"10,817 ","4,352 ",205 ,"1,811 ","15,169 ","2,016 ","17,185 ",11.7 ,"1,705 ",9.9 ,1.35 ,1.53 ,62380 ,"18,266 ",0.94 ,19.8 ,15.2 ,12月8日(水),雨,東京都,475 ,永代葛西橋線,62520 ,
475 ,永代葛西橋線,中央区日本橋箱崎町36,62530 ,"2,552 ",699 ,285 ,      －,      －,      －,      －,"6,522 ","1,289 ","7,811 ",16.5 ,817 ,10.5 ,1.32 ,0.73 ,62390 ,"10,742 ",0.73 ,23.7 ,39.8 ,9月28日(火),曇,国土交通省,475 ,永代葛西橋線,62530 ,
476 ,南砂町吾嬬町線,江東区亀戸8-25,62540 ,"1,004 ",939 ,574 ,      －,      －,      －,      －,"11,681 ","2,218 ","13,899 ",16.0 ,"1,270 ",9.1 ,1.31 ,1.03 ,62400 ,"9,313 ",1.49 ,30.6 ,25.9 ,11月18日(木),曇,国土交通省,476 ,南砂町吾嬬町線,62540 ,
480 ,品川埠頭線,品川区東品川5-7,62550 ,267 ,104 ,43 ,      －,      －,      －,      －,677 ,"1,840 ","2,517 ",73.1 ,266 ,10.6 ,1.24 ,0.22 ,62420 ,"3,553 ",0.71 ,12.6 ,8.8 ,11月30日(火),晴,国土交通省,480 ,品川埠頭線,62550 ,
482 ,台場青海線,江東区青海1-1,62590 ,70 ,26 ,24 ,      －,      －,      －,      －,"2,195 ",638 ,"2,833 ",22.5 ,309 ,10.9 ,1.23 ,0.31 ,62450 ,"3,408 ",0.83 ,19.0 ,22.9 ,11月30日(火),晴,国土交通省,482 ,台場青海線,62590 ,
484 ,豊洲有明線,江東区豊洲6-5,62615 ,692 ,"1,038 ","1,276 ","6,339 ","3,123 ",211 ,"3,310 ","9,462 ","3,521 ","12,983 ",27.1 ,"1,488 ",11.5 ,1.33 ,0.68 ,      －,      －,      －,      －,      －,12月9日(木),晴,東京都,484 ,豊洲有明線,62615 ,
