"施設名称","施設所在地","施設方書","施設電話番号","施設開設日","診療科目名称","緯度","経度"
"新宿ラクル美容外科クリニック　六本木院","東京都港区六本木三丁目7番1‐205号","The Roppongi Tokyo Plaza","03-6441-3355","2016/4/1","美容外科、形成外科、皮膚科","35.663913","139.734812"
"アリア六本木クリニック","東京都港区六本木三丁目11番8号","みのちビル6階","03-5785-1711","2010/10/1","美容外科、形成外科、皮膚科、泌尿器科","35.663189","139.732811"
"ｖｅａｒｙ　ｃｌｉｎｉｃ","東京都港区六本木四丁目2番35号","アーバンスタイル六本木三河台2階","03-6820-2457","2021/12/16","美容外科、美容皮膚科、皮膚科","35.664721","139.733555"
"中村クリニック","東京都港区六本木四丁目5番3号",,"03-3401-8003","2021/1/1","内科、外科、消化器内科","35.664917","139.732761"
"ＰＴクリニック六本木院","東京都港区六本木四丁目8番7号","六本木三河台ビル3階、4階","03-3470-1230","2021/10/18","皮膚科、美容皮膚科","35.663932","139.732978"
"医療法人社団　悠健　ドクターアンディーズクリニック","東京都港区六本木四丁目8番7号","六本木嶋田ビル6階","03-3401-0720","2018/2/26","腫瘍内科、ペインクリニック内科、美容外科、形成外科、皮膚科","35.664020","139.733018"
"８８クリニック","東京都港区六本木四丁目9番8号","リラビル3階","03-6804-6943","2024/1/29","美容皮膚科、美容内科","35.663584","139.732159"
"医療法人社団山貴会　ニュービューティークリニック","東京都港区六本木四丁目10番4号","K's三宅・六本木ビル5階・6階","03-3401-6424","2012/10/1","美容外科、美容皮膚科、皮膚科、形成外科、内科","35.663958","139.732202"
"六本木スキンクリニック","東京都港区六本木四丁目12番11号","竹岡ビル5階","03-6455-4658","2017/9/23","美容皮膚科、皮膚科、アレルギー科","35.664629","139.731573"
"ＴＣＢ　東京中央美容外科　六本木院","東京都港区六本木五丁目1番3号","ゴトウビルディング1st8階","03-6804-5841","2022/11/1","美容外科、美容皮膚科、皮膚科、形成外科","35.662680","139.732751"
"六本木クリニック","東京都港区六本木五丁目1番4号","六和ビル5階","03-5413-4822","2019/8/1","内科、精神科、皮膚科、泌尿器科","35.662738","139.732960"
"岸本クリニック","東京都港区六本木五丁目16番4号","六本木エーワンビル4階、6階","03-3589-2112","2007/3/1","内科","35.661725","139.735683"
"医療法人社団白壁会サフォクリニック","東京都港区六本木五丁目17番16号","スリースターズマンション1階、B1階","03-3568-7650","2018/10/1","美容外科、形成外科、美容皮膚科、美容内科","35.661069","139.736423"
"医療法人社団爽快呼吸ラボ　モーニングクリニック六本木内科耳鼻咽喉科ＯＲ","東京都港区六本木六丁目1番8号","六本木グリーンビル7階","03-5860-6935","2018/11/1","内科、耳鼻いんこう科、眼科","35.662554","139.732212"
"ジェネラルクリニック","東京都港区六本木六丁目1番8号","六本木グリーンビル8階","03-3401-0333","2017/9/29","内科、婦人科、皮膚科、美容皮膚科","35.662554","139.732212"
"ＭｉＳＡ　Ｃｌｉｎｉｃ　六本木本院","東京都港区六本木六丁目1番8号","六本木グリーンビル4階","03-6910-5774","2022/9/9","美容皮膚科","35.662554","139.732212"
"六本木北浜診療所","東京都港区六本木六丁目1番20号","六本木電気ビル2階","03-3402-0792","1973/4/18","内科、整形外科、小児科、皮膚科、耳鼻いんこう科、放射線科、リウマチ科","35.662411","139.731304"
"あべ耳鼻咽喉科クリニック","東京都港区六本木六丁目1番20号","六本木電気ビル2階","03-3401-3387","2015/1/5","耳鼻いんこう科","35.662411","139.731304"
"湘南美容皮フ科内科クリニック六本木院","東京都港区六本木六丁目1番24号","ラピロス六本木8階","050-5576-1460","2020/4/27","美容皮膚科、美容内科、内科、脂質代謝内科","35.662595","139.731913"
"湘南美容クリニック六本木院","東京都港区六本木六丁目1番24号","ラピロス六本木8階","050-5576-1450","2020/5/25","美容外科、美容皮膚科","35.662595","139.731913"
"赤須医院","東京都港区六本木六丁目1番26号","六本木天城ビル4階","03-5771-2081","2022/8/26","内科、外科、アレルギー科","35.662959","139.732196"
"陽だまりクリニック　六本木院","東京都港区六本木六丁目1番26号","六本木天城ビル3F","03-6434-5677","2022/12/1","内科、皮膚科、整形外科、リハビリテーション科","35.662959","139.732196"
"日本美容・医療クリニック","東京都港区六本木六丁目1番26号","天城ビル6階","03-6804-5141","2024/3/11","美容皮膚科、美容外科","35.662959","139.732196"
"六本木にしやま整形外科","東京都港区六本木六丁目5番20号","ATホームズ六本木 1階101号室","03-3470-0015","2021/4/1","整形外科、リハビリテーション科、小児科","35.661801","139.730916"
"医療法人社団　美翔会　聖心美容クリニック　六本木院","東京都港区六本木六丁目6番9号","ピラミデビル2階205、206、207区画","03-5770-5292","2008/4/1","美容外科、形成外科、皮膚科、美容皮膚科","35.661841","139.731554"
"六本木ブレストレディースクリニック","東京都港区六本木六丁目7番10号","簗場ビル地下1階","03-6721-1361","2019/4/1","乳腺外科、婦人科、女性内科、外科","35.662278","139.732523"
"テレビ朝日診療所","東京都港区六本木六丁目9番1号",,"03-6406-2096","2003/5/20","内科、耳鼻いんこう科、整形外科、心療内科、精神科","35.659635","139.730986"
"医療法人社団ケアリージェンシー　六本木ヒルズクリニック","東京都港区六本木六丁目10番1号","六本木ヒルズ森タワー6階","03-3796-0066","2003/8/21","内科、循環器内科、消化器内科、神経内科、呼吸器内科、心療内科、皮膚科、放射線科、整形外科、耳鼻いんこう科、婦人科、泌尿器科、精神科、乳腺外科、糖尿病内科","35.660552","139.729276"
"六本木ヒルズレジデンス健康相談クリニック","東京都港区六本木六丁目12番3号","六本木ヒルズレジデンスC棟5階","03-3404-5230","2021/9/1","内科","35.659042","139.730311"
"医療法人財団青輝会　ＡＯＨＡＬクリニック","東京都港区六本木六丁目15番1号","六本木ヒルズけやき坂テラス501","03-5786-1152","2010/10/14","美容皮膚科、皮膚科、形成外科","35.659134","139.72811"
"ウスイ内科クリニック","東京都港区六本木六丁目16番50号","葛野ビル2階","03-3401-0271","2022/8/1","内科、消化器内科、循環器内科","35.658347","139.728619"
"乃木坂ＹＭクリニック","東京都港区六本木七丁目1番17号","SPACE ROPPONGI 102号室",,"2022/3/6","整形外科","35.666385","139.725898"
"アイエスクリニック六本木","東京都港区六本木七丁目4番4号","六本木アートシェル5階","03-6432-9625","2020/1/5","内科、皮膚科、美容皮膚科","35.665588","139.728784"
"ＴＨＥ　ＣＡＰＳＵＬＥ　ＣＬＩＮＩＣ","東京都港区六本木七丁目4番8号","WINDビル2階","03-6459-2070","2023/3/27","美容外科、美容皮膚科、形成外科","35.665200","139.728269"
"さくら坂クリニック　ＳｏｐｈｙＡｎｃｅ（ソフィアンス）","東京都港区六本木七丁目7番13号","アトラスタワー六本木2階","03-6439-1184","2011/1/1","心療内科、精神科、内科","35.664845","139.728548"
"Ｔｏｋｙｏ　Ｂｅａｕｔｙ　Ｍａｓｔｅｒ　ｃｌｉｎｉｃ","東京都港区六本木七丁目8番8号","ミクニ六本木ビル4階","03-6434-0758","2024/2/5","皮膚科、美容皮膚科","35.664847","139.730098"
"深作眼科六本木院","東京都港区六本木七丁目8番9号","深作眼科ビル2，3，5，6，7階","03-5786-1886","2014/11/1","眼科","35.664730","139.730217"
"犀星の杜クリニック六本木","東京都港区六本木七丁目10番1号","M'sBILD.4階A号室","03-3401-3134","2022/11/15","内科、整形外科、皮膚科","35.664608","139.728861"
"Ｃｌｉｎｉｃ　Ｎｅｏ　Ｖｉｓｔａ","東京都港区六本木七丁目11番12号","ピュアシティ六本木401号",,"2023/12/1","精神科、心療内科、内科、皮膚科、眼科、整形外科、歯科","35.663377","139.728899"
"ヘアケアクリニック六本木院","東京都港区六本木七丁目13番2号","アーバンビル503号室","03-6886-8665","2021/12/1","美容皮膚科","35.664279","139.730835"
"アヴェニュー六本木クリニック","東京都港区六本木七丁目14番7号","六本木トリニティビル4・5階","0120-766-639","2007/9/1","皮膚科、形成外科","35.663483","139.731713"
"六本木内科・心療内科クリニック","東京都港区六本木七丁目14番8号","アーツショップビルディング 6階","03-5770-6585","1999/1/25","内科、心療内科、精神科、アレルギー科","35.663420","139.731795"
"表参道メディカルクリニック　六本木本院","東京都港区六本木七丁目14番10号","誠志堂ビル4階、5階","03-6625-5050","2023/3/1","形成外科、美容外科、美容皮膚科","35.663342","139.731853"
"医療法人社団ペリカン　六本木駅ビルクリニック","東京都港区六本木七丁目14番11号","メトロシティ六本木5階","03-6910-5256","2021/7/1","心療内科、精神科、内科","35.663195","139.731574"
"さとうクリニック","東京都港区六本木七丁目14番11号","メトロシティ六本木6階","03-5771-4871","2020/5/1","皮膚科、形成外科、アレルギー科、美容皮膚科","35.663195","139.731574"
"医療法人社団真聖会　六本木整形外科・内科クリニック","東京都港区六本木七丁目14番11号","メトロシティ六本木7階","03-6721-1441","2022/8/1","整形外科、内科、リハビリテーション科、ペインクリニック内科","35.663195","139.731574"
"医療法人社団健徳会　わかばクリニック","東京都港区六本木七丁目15番10号","クローバービル6階","03-5786-4011","2007/5/1","皮膚科、美容皮膚科、アレルギー科、内科","35.662777","139.730674"
"医療法人社団知泉会　鴨下眼科クリニック","東京都港区六本木七丁目15番14号","塩業ビル4階","03-3402-6660","2003/7/24","眼科","35.662500","139.729797"
"ＴＨＥ　ＲＯＰＰＯＮＧＩ　ＣＬＩＮＩＣ","東京都港区六本木七丁目15番17号","ユニ六本木ビル5階","03-6438-9244","2020/6/29","皮膚科","35.662292","139.729638"
"六本木メンタルクリニック","東京都港区六本木七丁目15番17号","ユニ六本木ビル9階","03-3470-1606","2017/10/1","心療内科、精神科","35.662292","139.729638"
"キュアステーション六本木クリニック","東京都港区六本木七丁目15番17号","ユニ六本木ビル6階D号室・E号室","03-3475-5800","2023/2/27","内科","35.662292","139.729638"
"やとみクリニック","東京都港区六本木七丁目15番17号","ユニ六本木ビル6階","03-6721-1724","2023/6/7","耳鼻いんこう科","35.662292","139.729638"
"六本木メディカルクリニック","東京都港区六本木七丁目17番12号","六本木ビジネスアパートメンツ607号室","03-4400-0343","2024/1/9","内科、皮膚科","35.662806","139.729723"
"六本木　今泉スキンクリニック","東京都港区六本木七丁目18番8号","第3大栄ビル6階","03-3401-6762","2018/4/1","皮膚科、美容皮膚科、形成外科、美容外科","35.662168","139.729201"
"六本木ウィメンズヘルスクリニック","東京都港区六本木七丁目18番11号","六本木DMビル4B","03-6459-2486","2024/3/1","婦人科","35.662059","139.729183"
"六本木レディースクリニック","東京都港区六本木七丁目18番18号","住友不動産六本木通ビル6階","050-5865-5330","2021/9/1","生殖医療婦人科","35.662066","139.728461"
