"ごみの品目","インデックス","種別","説明","GIS搭載用住所","経度","緯度","分類"
"虫眼鏡","むしめがね","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"名刺","めいし","古紙（集団回収）","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"めがね（金属製フレーム）","めがね（きんぞくふれーむ）","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"めがね（プラスチック製フレーム）","めがね（ぷらすちっくせいふれーむ）","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"目薬の容器","めぐすりのようき","資源プラスチック","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"メジャー（金属製）","めじゃー（きんぞくせい）","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"メジャー（プラスチック製）","めじゃー（ぷらすちっくせい）","資源プラスチック","プラスチック以外の素材が含まれる物は燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"メモ用紙","めもようし","古紙（集団回収）","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"毛布","もうふ","古着・古布（集団回収）","多くの地域で集団回収をしています。集団回収に出せない場合や汚れている場合は粗大ごみへ。
※「リサイクル展示室」でも回収しています。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"木炭","もくたん","燃やすごみ","水で湿らせてから出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"餅つき機","もちつきき","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"モップ","もっぷ","粗大ごみ","一辺が30㎝以下の場合は燃やすごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"物置","ものおき","粗大ごみ","解体してあるものに限ります。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ものさし（プラスチック製）","ものさし（ぷらすちっくせい）","資源プラスチック","プラスチック以外の素材が含まれる物は燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ものさし（木製）","ものさし（もくせい）","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"物干し竿","ものほしざお","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"物干し台","ものほしだい","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"モバイルバッテリー","もばいるばってりー","区では収集しないもの","お近くのリサイクル協力店へお出しください。お近くの協力店は、一般社団法人JBRCのホームページにてご確認ください。
https://www.jbrc.com/","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"やかん","やかん","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"焼き物（陶磁器）","やきもの（とうじき）","陶器・ガラス・金属ごみ","割れたものは、危険のないよう紙などで包み、他のごみとは別の袋に入れ、中身が何か分かるように表記して出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"野球のバット","やきゅうのばっと","粗大ごみ","5本1セットで回収します。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"薬品","やくひん","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"野菜くず","やさいくず","燃やすごみ","水分をよく切ってください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"柳ごうり
※衣装箱","やなぎごうり
※いしょうばこ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"浴衣","ゆかた","古着・古布（集団回収）","多くの地域で集団回収をしています。集団回収に出せない場合や汚れている場合は燃やすごみへ。
※「リサイクル展示室」でも回収しています。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"湯たんぽ（金属製）","ゆたんぽ（きんぞくせい）","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"湯たんぽ（プラスチック製）","ゆたんぽ（ぷらすちっくせい）","資源プラスチック","プラスチック以外の素材が含まれる物は燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"湯のみ茶碗","ゆのみちゃわん","陶器・ガラス・金属ごみ","割れたものは、危険のないよう紙などで包み、他のごみとは別の袋に入れ、中身が何か分かるように表記して出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ゆりかご","ゆりかご","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"湯沸し器","ゆわかしき","粗大ごみ","一辺が30㎝以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"洋服","ようふく","古着・古布（集団回収）","多くの地域で集団回収をしています。集団回収に出せない場合や汚れている場合は燃やすごみへ。
※「リサイクル展示室」でも回収しています。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"洋服ダンス","ようふくだんす","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"浴槽","よくそう","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"汚れた紙類","よごれたかみるい","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"汚れた缶","よごれたかん","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"汚れたビン","よごれたびん","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ヨーグルトの容器（紙製）","よーぐるとのようき（かみせい）","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ヨーグルトの容器（プラスチック製）","よーぐるとのようき（ぷらすちっくせい）","資源プラスチック","水で軽くすすいで汚れを落としてからお出しください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ライター","らいたー","陶器・ガラス・金属ごみ","できるだけ中身を使い切り、他のごみとは別の袋に入れ、中身が何か分かるように表記して出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ラジオ","らじお","粗大ごみ","一辺が30㎝以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ラジカセ（ＣＤ、ＭＤ等）
※オーディオ機器","らじかせ（しーでぃー、えむでぃーとう）
※おーでぃおきき","粗大ごみ","一辺が30㎝以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ラジコン","らじこん","陶器・ガラス・金属ごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ラップ","らっぷ","資源プラスチック","汚れを落としてからお出しください。
芯は古紙（集団回収）へ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ラップの芯","らっぷのしん","古紙（集団回収）","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ラップの箱","らっぷのはこ","古紙（集団回収）","刃の部分は取り外して陶器・ガラス・金属ごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ラバーカップ","らばーかっぷ","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"LANケーブル","らんけーぶる","使用済小型家電（拠点回収）","区立施設に設置してある「小型家電回収ボックス」へ入れてください。回収ボックスを利用できない場合は、陶器・ガラス・金属ごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ランドセル","らんどせる","燃やすごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ランニングマシーン
※健康器具","らんにんぐましーん
※けんこうきぐ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
